Reference,Authors,Title,Year,Status,Status rationale,Notes,Data type,FullTextURL,"Trait,s","Guild,s",No. lines used,Data type,Sex ,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Wolbachia adjusted,Baseline reference (eg competitor genptype)
,M Appel,"Genome-wide analysis of innate electric shock-and odour-avoidance, punishment-and relief-learning",2013,don't,thesis related to Appel (listed but no data) 2015,,,https://edoc.ub.uni-muenchen.de/17934/1/Appel_Mirjam.pdf,,,,,,,,,,,,
Durham et al (2014) Nature Communications,MF Durham,A genomic approach to identify the genetic basis of natural variation in lifespan and age specific fecundity and their plastic responses to diet in Drosophila …,2013,have,,,,https://doi.org/10.1038/ncomms5338,"Lifespan, fecundity","Lifespan, Fecundity ",189,mean,Female,,1,Single with male,cornmeal molasses agar,25,,
Grubbs et al (2013) PLOS One,"N Grubbs, M Leach, X Su, T Petrisko, JB Rosario…",New components of Drosophila leg development identified through genome wide association studies,2013,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0060261,Leg proportionality ,Morphology,100,,,3-5,,,cornmeal molasses agar,25,,
,"S Ye, J Li, Z Zhang",Multi-omics-data-assisted genomic feature markers preselection improves the accuracy of genomic prediction,2020,remove,Predictive,,,https://link.springer.com/article/10.1186/s40104-020-00515-5,,,,,,,,,,,,
Swarup et al (2013) PNAS,S. Swarup,Analysis of natural variation reveals neurogenetic networks for Drosophila olfactory behavior,2013,have,,,,https://doi.org/10.1073/pnas.1220168110,Olfactory behavious towards Benzaldehyde,Odor response ,164,,Both,,150,,cornmeal molasses agar,25,,
,M Pérez-Enciso…,SeqBreed: a python tool to evaluate genomic prediction in complex scenarios,2020,remove,Proof of principle tool,,,https://gsejournal.biomedcentral.com/articles/10.1186/s12711-020-0530-2,,,,,,,,,,,,
,"H Zhang, Q Fu, X Shi, Z Pan, W Yang, Z Huang, T Tang…",Human A-to-I RNA editing SNP loci are enriched in GWAS signals for autoimmune diseases and under balancing selection,2020,remove,Sequenced data used for genomic signatures,,,https://link.springer.com/article/10.1186/s13059-020-02205-x,,,,,,,,,,,,
,MJ Feldbauer,Automated Analysis of Grooming Behavior in Drosophila Using EthoVision XT,2020,remove,Repeated previously published (Hannum 2017),,,https://www.lycoming.edu/library/archives/honorspdfs/feldbauer_mikayla2020.pdf,,,,,,,,,,,,
,"PA Erickson, CA Weller, DY Song, AS Bangerter…","Unique genetic signatures of local adaptation over space and time for diapause, an ecologically relevant complex trait, in Drosophila melanogaster",2020,remove,Sequenced data used for genomic signatures,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009110,,,,,,,,,,,,
,"M Jan, BF O'Hara, P Franken",Recent advances in understanding the genetics of sleep,2020,remove,Review,,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7104869/,,,,,,,,,,,,
,"C Souto-Maior, YLS Negron, ST Harbison",Natural selection on sleep duration in Drosophila melanogaster,2020,remove,Outbred,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7691507/,,,,,,,,,,,,
,"X Zhou, CL St Pierre, NM Gonzales",Genome-Wide Association Study in Two Cohorts from a Multi-generational Mouse Advanced,2020,remove,Mouse study,,,https://www.g3journal.org/content/10/3/951,,,,,,,,,,,,
,"F Sharples, SM Moss, R Pool…",Advancing Research on the Environmental Regulation of Gene Function,2020,remove,Chapter,,,https://www.ncbi.nlm.nih.gov/books/NBK565041/,,,,,,,,,,,,
,"AC Bouwman, C Kamphuis, RF Veerkamp…",Classifying true and false reciprocal translocation breakpoints from whole genome sequence data using deep learning,2020,remove,Chapter,,,https://research.wur.nl/en/publications/classifying-true-and-false-reciprocal-translocation-breakpoints-f,,,,,,,,,,,,
,"P Duenk, P Bijma, YCJ Wientjes, MPL Calus","Predicting the purebred-crossbred genetic correlation from genetic variances within, and covariance between parental lines",2020,remove,Predictive,,,https://gsejournal.biomedcentral.com/articles/10.1186/s12711-021-00601-w,,,,,,,,,,,,
,HA Mulder,"Quantitative genetics of environmental variance, uniformity and resilience in livestock animals",2020,remove,Chapter,,,https://research.wur.nl/en/publications/quantitative-genetics-of-environmental-variance-uniformity-and-re,,,,,,,,,,,,
,"CE Ellison, MS Kagda, W Cao",Telomeric TART elements target the piRNA machinery in Drosophila,2020,remove,Sequenced data used for genomic signatures,,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000689,,,,,,,,,,,,
"Harbison, McCoy and Mackay (2013) BMC Genomics","ST Harbison, LJ McCoy, TFC Mackay",Genome-wide association study of sleep in Drosophila melanogaster,2013,have,,,,https://link.springer.com/article/10.1186/1471-2164-14-281,Sleep and wake cycles ,Physiology,168,,Both,,32,Single,cornmeal molasses agar,25,,
,T. Zichner,Impact of genomic structural variation in Drosophila melanogaster based on population-scale sequencing,2013,unsure,Structural variation in 39 lines,,,https://doi.org/10.1101/gr.142646.112,,,,,,,,,,,,
,"TN Sass, RA MacPherson, TFC Mackay…",High-Throughput Method for Measuring Alcohol Sedation Time of Individual Drosophila melanogaster,2020,remove,JOVE protocol,,,https://www.jove.com/t/61108/high-throughput-method-for-measuring-alcohol-sedation-time-individual,,,,,,,,,,,,
,"S Luo, H Zhang, Y Duan, X Yao, AG Clark…",The evolutionary arms race between transposable elements and piRNAs in Drosophila melanogaster,2020,remove,Used sRNA-seq data from Song et al 2014,,,https://link.springer.com/article/10.1186/s12862-020-1580-3,,,,,,,,,,,,
,"J Consuegra, T Grenier, P Baa-Puyoulet, I Rahioui…",Drosophila-associated bacteria differentially shape the nutritional requirements of their host during juvenile growth,2020,remove,,,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000681,,,,,,,,,,,,
,"JB Wang, C Elya, RJS Leger",Genetic variation for resistance to the specific fly pathogen Entomophthora muscae,2020,remove,Insufficient lines used,,,https://www.nature.com/articles/s41598-020-71262-w,,,,,,,,,,,,
,"A Haudry, S Laurent, M Kapun",Population Genomics on the Fly: Recent Advances in Drosophila,2020,remove,Book,,,https://library.oapen.org/bitstream/handle/20.500.12657/23339/1006816.pdf?sequence=1#page=358,,,,,,,,,,,,
,"V Mérel, M Boulesteix, M Fablet, C Vieira",Transposable elements in Drosophila,2020,remove,Review,,,https://link.springer.com/article/10.1186/s13100-020-00213-z,,,,,,,,,,,,
,A Le Bras,A systems biology approach to understand the effects of diet on lifespan,2020,remove,Research highlight Jin et al 2020,,,https://www.nature.com/articles/s41684-020-0632-z,,,,,,,,,,,,
,"M Matos, P Simões, I Fragata, AS Quina…",Coping With Climate Change: A Genomic Perspective on Thermal Adaptation,2020,remove,Editorial,,,https://www.frontiersin.org/articles/10.3389/fgene.2020.619441/pdf,,,,,,,,,,,,
,"DN Awde, TE Fowler, F Pérez-Gálvez…",High-throughput assays of critical thermal limits in insects,2020,remove,JOVE protocol,,,https://www.jove.com/t/61186/high-throughput-assays-of-critical-thermal-limits-in-insects,,,,,,,,,,,,
,"DK Ivanov, G Bostelmann, B Lan-Leung, J Williams…",A novel computational approach for predicting complex phenotypes in Drosophila (starvation-sensitive and sterile) by deriving their gene expression …,2020,remove,Unrelated ,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240824,,,,,,,,,,,,
,"RL Belmonte, MK Corbally, DF Duneau…",Sexual dimorphisms in innate immunity and responses to infection in Drosophila melanogaster,2020,remove,Review,,,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03075/full?report=reader,,,,,,,,,,,,
,"NS Torosin, A Anand, TR Golla, W Cao…",3D genome evolution and reorganization in the Drosophila melanogaster species group,2020,remove,Insufficient lines used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009229,,,,,,,,,,,,
,"E Versace, M Caffini, Z Werkhoven, BL de Bivort","Individual, but not population asymmetries, are modulated by social environment and genotype in Drosophila melanogaster",2020,remove,Insufficient lines used,,,https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/63603/Versace%20Individual%2c%20but%20not%202020%20Published.pdf?sequence=2&isAllowed=y,,,,,,,,,,,,
,"AW McCracken, G Adams, L Hartshorne…",The hidden costs of dietary restriction: implications for its evolutionary and mechanistic origins,2020,remove,Insufficient lines used,,,https://advances.sciencemag.org/content/6/8/eaay3047?utm_campaign=toc_advances_2020-02-21&et_rid=244762361&et_cid=3216875,,,,,,,,,,,,
,LC Swanson,Identifying Immunologic and Metabolic Contributors to Secondary Injuries in a Drosophila Model of Traumatic Brain Injury,2020,remove,Unrelated ,,,https://www.proquest.com/docview/2420998774?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,
,A Bombin,"Influence of Lab Adapted Natural Diet, Genotype, and Microbiota on Drosophila melanogaster Larvae",2020,remove,Insufficient lines used,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7763083/,,,,,,,,,,,,
"Gerken, Eller and Morgan (2014) PhD thesis",AR Gerken,Genomics and physiological evolution of cold tolerance in Drosophila melanogaster,2014,have,Thesis but sure we have published data,,,http://krex.k-state.edu/dspace/bitstream/handle/2097/17591/AlisonGerken2014.pdf,,,,,,,,,,,,
,"CT Zhu, C Chang, RA Reenan, SL Helfand",Indy gene variation in natural populations confers fitness advantage and life span extension through transposon insertion,2014,unsure,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3927810/,,,,,,,,,,,,
,C.E. Ellison,Nanopore sequencing and Hi-C scaffolding provide insight into the evolutionary dynamics of transposable elements and piRNA production in wild strains of Drosophila melanogaster,2020,remove,Insufficient lines used,,,https://doi.org/10.1093/nar/gkz1080,,,,,,,,,,,,
,S. Zhang,Rapid evolution of piRNA-mediated silencing of an invading transposable element was driven by abundant de novo mutations,2020,remove,Used sequencing data and F1 crosses,,,https://genome.cshlp.org/content/early/2020/04/01/gr.251546.119.full.pdf,,,,,,,,,,,,
Ellis et al (2014) PLOS Genetics,"LL Ellis, W Huang, AM Quinn, A Ahuja, B Alfrejd…",Intrapopulation Genome Size Variation in D. melanogaster Reflects Life History Variation and Plasticity,2014,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004522,Genome size,,205,,Female,,,,Bloomington's standard medium,,,
,N.C. Riddle,Variation in the response to exercise stimulation in Drosophila: marathon runner versus sprinter genotypes,2020,remove,"Used data from Watanabe 2020. Kind of a different trait so might be worth a chat, I'm 50:50",,,https://doi.org/10.1242/jeb.229997,,,,,,,,,,,,
,"Katherine E. Knudsen, William R. Reid, Traci M. Barbour, Laci M. Bowes, Juliana Duncan, Elaina Philpott, Samantha Potter, Maxwell J. Scott",Genetic Variation and Potential for Resistance Development to the tTA Overexpression Lethal System in Insects,2020,remove,Crosses used,,,https://doi.org/10.1534/g3.120.400990,,,,,,,,,,,,
Vaisnav et al (2014) PLOS One,"M Vaisnav, C Xing, HC Ku, D Hwang, S Stojadinovic…",Genome-Wide Association Analysis of Radiation Resistance in Drosophila melanogaster,2014,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0104858,Radiation survival,Stress resistance,154,,Male,7-11,100,,cornmeal molasses agar ,25,,
Toshima et al (2014) Journal of Insect Physiology,N. Toshima,Genetic variation in food choice behaviour of amino acid-deprived Drosophila,2014,have,,,,https://doi.org/10.1016/j.jinsphys.2014.06.019,Amino acid preference ,Physiology,36,,Both,,,,,25,,
,"Fabio Morgante, Wen Huang, Peter Sorensen, Christian Maltecca, Trudy F. C. Mackay",Leveraging Multiple Layers of Data To Predict Drosophila Complex Traits,2020,remove,Predictive,,,https://doi.org/10.1534/g3.120.401847,,,,,,,,,,,,
,"R Ramy, S Garnier, L Pradel, L Röder…",Approaches combining mice and Drosophila melanogaster models to decipher human sepsis,2014,don't,Can't access full text,,,https://ccforum.biomedcentral.com/articles/10.1186/cc14070,,,,,,,,,,,,
Montgomery et al (2014) PLOS One,"SL Montgomery, D Vorojeikina, W Huang, TFC Mackay…",Genome-Wide Association Analysis of Tolerance to Methylmercury Toxicity in Drosophila Implicates Myogenic and Neuromuscular Developmental Pathways,2014,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110375,Devlopment,Stress Resistance ,176,,,,,,cornmeal molasses agar,25,,
Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics ,W. Huang,Natural variation in genome architecture among 205 Drosophila melanogaster Genetic Reference Panel lines,2014,have,,,,https://doi.org/10.1101/gr.171546.113,Genome size,Genomic,205,,Female,,,,cornmeal molasses agar,25,,
,"BS Hall, YA Barnett, JJ Crofts, N Chuzhanova",Identification of novel genes associated with longevity in Drosophila melanogaster-a computational approach,2019,remove,Used data from Ivanov 2015,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6932890/,,,,,,,,,,,,
,B Hall,In silico Identification of Novel Genetic Factors Associated with Longevity in Drosophila,2019,remove,Thesis of Hall 2019,,,http://irep.ntu.ac.uk/id/eprint/39906/1/Bethany%20Hall%202020.pdf,,,,,,,,,,,,
,"GL Engel, K Taber, E Vinton…",Studying alcohol use disorder using Drosophila melanogaster in the era of 'Big Data',2019,remove,Review,,,https://behavioralandbrainfunctions.biomedcentral.com/articles/10.1186/s12993-019-0159-x,,,,,,,,,,,,
,Z Wisotsky,Investigation of Taste Neurobiology in Drosophila: From Peripheral Detection to Behavior,2014,don't,Thesis - response to pH,,,https://escholarship.org/content/qt29g2f6f7/qt29g2f6f7.pdf,,,,,,,,,,,,
