Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
3-Hydroxybutyric.acid.high.yeast,Female,0.39,0.25,0.64,0.6,0.18,0.33,0.16,0.42,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxybutyric.acid.low.yeast,Female,0,1.04,1.04,0,0.2,0.41,0.23,0.19,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxykynurenine.high.yeast,Female,0.12,0.75,0.87,0.14,0.13,0.27,0.16,0.17,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxykynurenine.low.yeast,Female,0.06,0.88,0.94,0.06,0.14,0.3,0.17,0.16,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
4-Pyridoxic.acid.high.yeast,Female,0,1.16,1.16,0,0.22,0.45,0.25,0.19,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
4-Pyridoxic.acid.low.yeast,Female,0.11,0.78,0.89,0.12,0.18,0.36,0.19,0.22,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
5-Aminovalerate.high.yeast,Female,0,1,1,0,0.14,0.29,0.17,0.14,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
5-Aminovalerate.low.yeast,Female,0.21,0.57,0.78,0.27,0.14,0.27,0.15,0.22,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
abdomen.length.18C,Female,0.23,0.55,0.77,0.29,0.15,0.28,0.15,0.24,Morphological,"Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
abdomen.length.28C,Female,0,1.1,1.1,0,0.18,0.37,0.21,0.16,Morphological,"Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
abdomen.length.thermal.plasticity,Female,0,1.03,1.03,0,0.14,0.29,0.17,0.13,Morphological,"Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
acclimated.acute.cold.exposure.resistance.18C,Female,0,1.03,1.03,0,0.17,0.36,0.21,0.17,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.18C,Male,0.03,0.97,1,0.03,0.16,0.33,0.19,0.16,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.25C,Female,0,1.02,1.02,0,0.16,0.33,0.19,0.15,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.25C,Male,0,1.19,1.19,0,0.26,0.54,0.29,0.22,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acetoacetate.high.yeast,Female,0,1.14,1.14,0,0.25,0.52,0.28,0.22,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetoacetate.low.yeast,Female,0,1.05,1.05,0,0.17,0.35,0.2,0.16,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Acetobacter.aceti,Female,0.13,0.75,0.87,0.15,0.15,0.29,0.16,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.aceti,Male,0.05,0.9,0.95,0.05,0.15,0.3,0.17,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.cibinongensis,Female,0.16,0.69,0.84,0.18,0.15,0.29,0.16,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.cibinongensis,Male,0.15,0.69,0.85,0.18,0.17,0.34,0.18,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.ghanensis,Female,0.12,0.75,0.88,0.14,0.15,0.29,0.16,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.ghanensis,Male,0.03,0.93,0.97,0.03,0.15,0.32,0.18,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.indonesiensis,Female,0.13,0.74,0.87,0.15,0.13,0.27,0.15,0.17,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.indonesiensis,Male,0.07,0.85,0.92,0.08,0.12,0.24,0.15,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.malorum,Female,0.08,0.85,0.92,0.08,0.16,0.33,0.18,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.malorum,Male,0.05,0.89,0.95,0.06,0.16,0.33,0.18,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.nitrogenifigens,Female,0.15,0.71,0.85,0.17,0.15,0.29,0.16,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.nitrogenifigens,Male,0.1,0.8,0.9,0.11,0.15,0.3,0.17,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.okinawensis,Female,0.21,0.58,0.79,0.26,0.15,0.3,0.16,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.okinawensis,Male,0.03,0.94,0.97,0.03,0.13,0.28,0.16,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.orientalis,Female,0.13,0.74,0.87,0.15,0.14,0.27,0.15,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.orientalis,Male,0.2,0.6,0.8,0.25,0.17,0.33,0.17,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.papayae,Female,0.11,0.77,0.89,0.13,0.15,0.3,0.17,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.papayae,Male,0.1,0.81,0.9,0.11,0.15,0.31,0.17,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pasteurianus,Female,0.17,0.65,0.83,0.21,0.15,0.29,0.16,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pasteurianus,Male,0.08,0.84,0.92,0.09,0.15,0.31,0.17,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.persici,Female,0.15,0.71,0.85,0.17,0.18,0.35,0.19,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.persici,Male,0.14,0.72,0.86,0.17,0.18,0.35,0.19,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pomorum,Female,0.16,0.67,0.83,0.2,0.14,0.28,0.16,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pomorum,Male,0.06,0.89,0.94,0.06,0.14,0.29,0.16,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.senegalensis,Female,0.15,0.7,0.85,0.17,0.13,0.27,0.15,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.senegalensis,Male,0.07,0.86,0.93,0.08,0.11,0.23,0.14,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.syzygii,Female,0.26,0.48,0.74,0.36,0.16,0.3,0.16,0.28,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.syzygii,Male,0.11,0.77,0.89,0.13,0.17,0.34,0.18,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.tropicalis,Female,0.15,0.7,0.85,0.18,0.13,0.26,0.15,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.tropicalis,Male,0.1,0.79,0.89,0.11,0.12,0.24,0.14,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
acetylcarnitine.high.yeast,Female,0.15,0.7,0.85,0.17,0.19,0.37,0.2,0.25,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcarnitine.low.yeast,Female,0.46,0.09,0.55,0.84,0.12,0.19,0.1,0.32,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcholine.high.yeast,Female,0.23,0.54,0.77,0.3,0.19,0.36,0.19,0.31,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcholine.low.yeast,Female,0.05,0.91,0.95,0.05,0.19,0.39,0.21,0.21,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Acidiphilium.angustum,Female,0.26,0.48,0.74,0.35,0.15,0.28,0.15,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidiphilium.angustum,Male,0.09,0.82,0.91,0.1,0.17,0.34,0.19,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidomonas.methanolica,Female,0.05,0.9,0.95,0.05,0.13,0.27,0.16,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidomonas.methanolica,Male,0.39,0.25,0.64,0.61,0.15,0.26,0.13,0.33,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.sp.,Female,0.08,0.84,0.92,0.09,0.12,0.25,0.15,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.sp.,Male,0.03,0.94,0.97,0.03,0.14,0.29,0.17,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.temperans,Female,0.16,0.67,0.83,0.2,0.13,0.26,0.14,0.18,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.temperans,Male,0,1.05,1.05,0,0.2,0.4,0.22,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.gyllenbergii,Female,0.08,0.84,0.92,0.08,0.14,0.28,0.16,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.gyllenbergii,Male,0,1.15,1.15,0,0.14,0.29,0.17,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.johnsonii,Female,0.39,0.22,0.61,0.64,0.14,0.25,0.13,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.johnsonii,Male,0,1.09,1.09,0,0.15,0.31,0.18,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.sp.,Female,0.34,0.33,0.67,0.51,0.17,0.3,0.15,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.sp.,Male,0.01,0.98,0.99,0.01,0.11,0.25,0.15,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
activity,Male,0.29,0.42,0.7,0.41,0.14,0.25,0.14,0.26,Activity,Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height). Higher values indicate more active flies.,Rohde et al (2019) Genetics
acute.cold.exposure.resistance.18C.-6,Female,0.21,0.61,0.82,0.25,0.2,0.38,0.2,0.29,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-6,Male,0,1.48,1.48,0,0.38,0.75,0.4,0.25,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-8,Female,0.28,0.45,0.73,0.39,0.21,0.4,0.21,0.39,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-8,Male,0,0.99,0.99,0,0.13,0.29,0.17,0.13,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.25C,Female,0.41,0.18,0.59,0.69,0.16,0.29,0.15,0.42,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.25C,Male,0.16,0.67,0.84,0.19,0.17,0.33,0.18,0.24,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
