Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
acetoacetate.high.yeast.f,0,1.14,1.14,0,0.25,0.52,0.28,0.22,Female,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetoacetate.low.yeast.f,0,1.05,1.05,0,0.17,0.35,0.2,0.16,Female,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Acetobacter.aceti.f,0.13,0.75,0.87,0.15,0.15,0.29,0.16,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.aceti.m,0.05,0.9,0.95,0.05,0.15,0.3,0.17,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.cibinongensis.f,0.16,0.69,0.84,0.18,0.15,0.29,0.16,0.2,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.cibinongensis.m,0.15,0.69,0.85,0.18,0.17,0.34,0.18,0.24,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.ghanensis.f,0.12,0.75,0.88,0.14,0.15,0.29,0.16,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.ghanensis.m,0.03,0.93,0.97,0.03,0.15,0.32,0.18,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.indonesiensis.f,0.13,0.74,0.87,0.15,0.13,0.27,0.15,0.17,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.indonesiensis.m,0.07,0.85,0.92,0.08,0.12,0.24,0.15,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.malorum.f,0.08,0.85,0.92,0.08,0.16,0.33,0.18,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.malorum.m,0.05,0.89,0.95,0.06,0.16,0.33,0.18,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.nitrogenifigens.f,0.15,0.71,0.85,0.17,0.15,0.29,0.16,0.2,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.nitrogenifigens.m,0.1,0.8,0.9,0.11,0.15,0.3,0.17,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.okinawensis.f,0.21,0.58,0.79,0.26,0.15,0.3,0.16,0.24,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.okinawensis.m,0.03,0.94,0.97,0.03,0.13,0.28,0.16,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.orientalis.f,0.13,0.74,0.87,0.15,0.14,0.27,0.15,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.orientalis.m,0.2,0.6,0.8,0.25,0.17,0.33,0.17,0.26,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.papayae.f,0.11,0.77,0.89,0.13,0.15,0.3,0.17,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.papayae.m,0.1,0.81,0.9,0.11,0.15,0.31,0.17,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pasteurianus.f,0.17,0.65,0.83,0.21,0.15,0.29,0.16,0.21,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pasteurianus.m,0.08,0.84,0.92,0.09,0.15,0.31,0.17,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.persici.f,0.15,0.71,0.85,0.17,0.18,0.35,0.19,0.24,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.persici.m,0.14,0.72,0.86,0.17,0.18,0.35,0.19,0.24,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pomorum.f,0.16,0.67,0.83,0.2,0.14,0.28,0.16,0.2,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.pomorum.m,0.06,0.89,0.94,0.06,0.14,0.29,0.16,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.senegalensis.f,0.15,0.7,0.85,0.17,0.13,0.27,0.15,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.senegalensis.m,0.07,0.86,0.93,0.08,0.11,0.23,0.14,0.13,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.syzygii.f,0.26,0.48,0.74,0.36,0.16,0.3,0.16,0.28,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.syzygii.m,0.11,0.77,0.89,0.13,0.17,0.34,0.18,0.21,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.tropicalis.f,0.15,0.7,0.85,0.18,0.13,0.26,0.15,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acetobacter.tropicalis.m,0.1,0.79,0.89,0.11,0.12,0.24,0.14,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
acetylcarnitine.high.yeast.f,0.15,0.7,0.85,0.17,0.19,0.37,0.2,0.25,Female,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcarnitine.low.yeast.f,0.46,0.09,0.55,0.84,0.12,0.19,0.1,0.32,Female,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcholine.high.yeast.f,0.23,0.54,0.77,0.3,0.19,0.36,0.19,0.31,Female,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
acetylcholine.low.yeast.f,0.05,0.91,0.95,0.05,0.19,0.39,0.21,0.21,Female,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Acidiphilium.angustum.f,0.26,0.48,0.74,0.35,0.15,0.28,0.15,0.26,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidiphilium.angustum.m,0.09,0.82,0.91,0.1,0.17,0.34,0.19,0.2,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidomonas.methanolica.f,0.05,0.9,0.95,0.05,0.13,0.27,0.16,0.14,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidomonas.methanolica.m,0.39,0.25,0.64,0.61,0.15,0.26,0.13,0.33,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.sp..f,0.08,0.84,0.92,0.09,0.12,0.25,0.15,0.14,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.sp..m,0.03,0.94,0.97,0.03,0.14,0.29,0.17,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.temperans.f,0.16,0.67,0.83,0.2,0.13,0.26,0.14,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acidovorax.temperans.m,0,1.05,1.05,0,0.2,0.4,0.22,0.19,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.gyllenbergii.f,0.08,0.84,0.92,0.08,0.14,0.28,0.16,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.gyllenbergii.m,0,1.15,1.15,0,0.14,0.29,0.17,0.12,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.johnsonii.f,0.39,0.22,0.61,0.64,0.14,0.25,0.13,0.34,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.johnsonii.m,0,1.09,1.09,0,0.15,0.31,0.18,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.sp..f,0.34,0.33,0.67,0.51,0.17,0.3,0.15,0.34,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Acinetobacter.sp..m,0.01,0.98,0.99,0.01,0.11,0.25,0.15,0.12,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
activity.m,0.29,0.42,0.7,0.41,0.14,0.25,0.14,0.26,Male,Activity,Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height). Higher values indicate more active flies.,Rohde et al (2019) Genetics
acute.cold.exposure.resistance.18C.-6.f,0.21,0.61,0.82,0.25,0.2,0.38,0.2,0.29,Female,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-6.m,0,1.48,1.48,0,0.38,0.75,0.4,0.25,Male,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-8.f,0.28,0.45,0.73,0.39,0.21,0.4,0.21,0.39,Female,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.18C.-8.m,0,0.99,0.99,0,0.13,0.29,0.17,0.13,Male,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acute.cold.exposure.resistance.25C.f,0.41,0.18,0.59,0.69,0.16,0.29,0.15,0.42,Female,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
