Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Arya et al (2015) Chemical Senses,olfactory.response.D-carvone.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.ethylacetate.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.ethylacetate.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.ethylbutyrate.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.ethylbutyrate.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.eugenol.f,185,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.eugenol.m,185,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.heliol.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.heliol.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.hexal.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.hexal.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.L-carvone.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.L-carvone.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.methylSalicylate.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.methylSalicylate.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Bailey and Hoskins (2014) Evolution,abdomen.curling.same.sex.m,50,Male,"Incidence of DGRP males abdomen curling in the presence of an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of abdomen curling.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,activity.same.sex.m,50,Male,"An overall measure of activity level obtained by summing the total number of tapping, orientating, following, licking, singing and abdomen curling for a male housed in a vial with a single additional male. Higher values indicate greater activity.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,following.same.sex.m,50,Male,"Incidence of DGRP males following an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of following.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,licking.same.sex.m,50,Male,"Incidence of DGRP males licking an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of licking.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,orientating.same.sex.m,50,Male,"Incidence of DGRP males orientating towards an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of orientating.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,singing.same.sex.m,50,Male,"Incidence of courtship ‘song’ produced by a DGRP male when interacting with another male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of singing.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,tapped.same.sex.m,50,Male,"Incidence of a male being tapped by an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of being tapped.",Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Bailey and Hoskins (2014) Evolution,tapping.same.sex.m,50,Male,Male tapping; in this case when a male brings the tarsus of a foreleg into contact with another male. Higher values indicate a greater incidence of tapping.,Bailey and Hoskins,Detecting cryptic indirect genetic effects,2014,https://doi.org/10.1111/evo.12401,NA,40,NA,NA,19.4°C - 24.9°C,NA
Battlay et al (2016) G3,azinphos.methyl.resistance.0.25,175,Pooled,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 0.25 ug/ml. Higher values indicate greater mortality.,Battlay et al,Genomic and Transcriptomic Associations Identify a New Insecticide Resistance Phenotype for the Selective Sweep at the Cyp6g1 Locus of Drosophila melanogaster,2016,https://doi.org/10.1534/g3.116.031054,24 hr old larvae (first instar),3,NA,NA,NA,NA
Battlay et al (2016) G3,azinphos.methyl.resistance.0.5,175,Pooled,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 0.5 ug/ml. Higher values indicate greater mortality.,Battlay et al,Genomic and Transcriptomic Associations Identify a New Insecticide Resistance Phenotype for the Selective Sweep at the Cyp6g1 Locus of Drosophila melanogaster,2016,https://doi.org/10.1534/g3.116.031054,24 hr old larvae (first instar),3,NA,NA,NA,NA
Battlay et al (2016) G3,azinphos.methyl.resistance.1,175,Pooled,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 1 ug/ml. Higher values indicate greater mortality.,Battlay et al,Genomic and Transcriptomic Associations Identify a New Insecticide Resistance Phenotype for the Selective Sweep at the Cyp6g1 Locus of Drosophila melanogaster,2016,https://doi.org/10.1534/g3.116.031054,24 hr old larvae (first instar),3,NA,NA,NA,NA
Battlay et al (2016) G3,azinphos.methyl.resistance.2,175,Pooled,Mean proportion of larvae surviving to pupation after 7 days on food media containing azinphos-methyl (an organophosphate insecticide) at 2 ug/ml. Higher values indicate greater mortality.,Battlay et al,Genomic and Transcriptomic Associations Identify a New Insecticide Resistance Phenotype for the Selective Sweep at the Cyp6g1 Locus of Drosophila melanogaster,2016,https://doi.org/10.1534/g3.116.031054,24 hr old larvae (first instar),3,NA,NA,NA,NA
Battlay et al (2016) G3,azinphos.methyl.resistance.LD50,175,Pooled,Mean dosage (ug/ml) of azinphos-methyl (an organophosphate insecticide) required for 50% of larvae to die. Higher values indicate greater resistance.,Battlay et al,Genomic and Transcriptomic Associations Identify a New Insecticide Resistance Phenotype for the Selective Sweep at the Cyp6g1 Locus of Drosophila melanogaster,2016,https://doi.org/10.1534/g3.116.031054,24 hr old larvae (first instar),3,NA,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.12hr.f,170,Female,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.12hr.m,170,Male,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.24hr.f,170,Female,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.24hr.m,170,Male,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.3hr.f,170,Female,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.3hr.m,170,Male,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.6hr.f,170,Female,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,malathion.mortality.6hr.m,170,Male,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,permethrin.knockdown.f,169,Female,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,permethrin.knockdown.m,169,Male,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,permethrin.mortality.24hr.f,169,Female,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Battlay et al (2018) G3,permethrin.mortality.24hr.m,169,Male,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.","Paul Battlay, Pontus B. Leblanc, Llewellyn Green, Nandita R. Garud, Joshua M. Schmidt, Alexandre Fournier-Level, Charles Robin",Structural Variants and Selective Sweep Foci Contribute to Insecticide Resistance in the Drosophila Genetic Reference Panel,2018,https://doi.org/10.1534/g3.118.200619,03-May,~21,7,NA,NA,NA
Bou Sleiman et al (2015) Nature Communications,P.entomophila.resistance.f,140,Female,"Mean percentage of flies dying after 3 days post infection with P.entomophila L48, an entomopathogenic bacterium. Higher values indicate greater mortality.","MSB Sleiman, D Osman, A Massouras…","Genetic, molecular and physiological basis of variation in Drosophila gut immunocompetence",2015,https://doi.org/10.1038/ncomms8829,03-May,NA,NA,"1L: 6.2 g agar powder, 58.8 g Farigel wheat, 58.8 g yeast, 100 ml grape juice, 4.9 ml propionic acid, 26.5 ml of methyl 4-hydroxybenzoate solution (400 g/l) in 95% ethanol",NA,NA
Bou Sleiman et al (2015) Nature Communications,P.entomophila.resistance.f,140,Female,"Mean percentage of flies dying after 3 days post infection with P.entomophila L48, an entomopathogenic bacterium. Higher values indicate greater mortality.",Bou Sleiman et al,"Genetic, molecular and physiological basis of variation in Drosophila gut immunocompetence",2015,https://doi.org/10.1038/ncomms8829,NA,NA,NA,NA,NA,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.attraction.f,157,Female,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.attraction.m,157,Male,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.latency.30.percentile.f,157,Female,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
